query_gene,gene,euclidean_distance
ENSG00000148400,ENSG00000125844,0.0006822238210588694
ENSG00000183765,ENSG00000173846,0.0035227201879024506
ENSG00000183765,ENSG00000130766,0.0036732733715325594
ENSG00000183765,ENSG00000080546,0.0036732733715325594
ENSG00000183765,ENSG00000175063,0.004246941767632961
ENSG00000183765,ENSG00000108106,0.004246941767632961
ENSG00000183765,ENSG00000035928,0.004944602958858013
ENSG00000183765,ENSG00000176915,0.005503210239112377
ENSG00000183765,ENSG00000198707,0.005599354859441519
ENSG00000183765,ENSG00000147799,0.00582148740068078
ENSG00000183765,ENSG00000095002,0.005993421655148268
ENSG00000055609,ENSG00000049768,7.904573431005701e-05
ENSG00000055609,ENSG00000136810,0.00013040602789260447
ENSG00000055609,ENSG00000174130,0.001205562730319798
ENSG00000055609,ENSG00000150867,0.0015065893530845642
ENSG00000055609,ENSG00000166908,0.0015065893530845642
ENSG00000055609,ENSG00000276293,0.0015065893530845642
ENSG00000055609,ENSG00000171451,0.002614355878904462
ENSG00000055609,ENSG00000111817,0.002614355878904462
ENSG00000055609,ENSG00000063601,0.004279742483049631
ENSG00000055609,ENSG00000246705,0.004744937643408775
ENSG00000181555,ENSG00000185420,0.0
ENSG00000181555,ENSG00000116539,0.0
ENSG00000181555,ENSG00000145391,0.0
ENSG00000181555,ENSG00000103037,0.0
ENSG00000181555,ENSG00000152455,0.0
ENSG00000181555,ENSG00000165671,0.0
ENSG00000181555,ENSG00000104885,0.0
ENSG00000181555,ENSG00000110066,0.0
ENSG00000181555,ENSG00000136169,0.0
ENSG00000181555,ENSG00000133247,0.0
ENSG00000116062,ENSG00000162600,0.0028635310009121895
ENSG00000116062,ENSG00000130827,0.003356192260980606
ENSG00000116062,ENSG00000075213,0.003356192260980606
ENSG00000116062,ENSG00000143207,0.008901511318981647
ENSG00000116062,ENSG00000205423,0.009239664301276207
ENSG00000116062,ENSG00000175826,0.009239664301276207
ENSG00000116062,ENSG00000163513,0.018544360995292664
ENSG00000116062,ENSG00000108557,0.02345096878707409
ENSG00000116062,ENSG00000167513,0.023942342028021812
ENSG00000116062,ENSG00000112110,0.02779981680214405
